,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Novembro de 2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ano: 2021,,Brasil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UF,Município,Agropecuária,,,,Indústria,,,,Construção,,,,Comércio,,,,Serviços,5 - Comércio,,,Total,,,
,,,2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN,MARCELINO VIEIRA,14,22,8,57.14,3,3,0,0.00,0,0,0,#DIV/0!,24,23,-1,-4.17,261,227,-34,-13.03,302,275,-27,-8.94
,RN,MARTINS,2,0,-2,-100.00,17,41,24,141.18,6,8,2,33.33,152,148,-4,-2.63,368,581,213,57.88,545,778,233,42.75
,RN,MAXARANGUAPE,71,53,-18,-25.35,122,90,-32,-26.23,3,0,-3,-100.00,67,85,18,26.87,732,791,59,8.06,995,"1,019",24,2.41
,RN,MESSIAS TARGINO,0,0,0,#DIV/0!,38,57,19,50.00,3,1,-2,-66.67,22,21,-1,-4.55,250,251,1,0.40,313,330,17,5.43
,RN,MONTANHAS,1,2,1,100.00,13,12,-1,-7.69,1,2,1,100.00,178,190,12,6.74,540,583,43,7.96,733,789,56,7.64
,RN,MONTE ALEGRE,90,86,-4,-4.44,214,228,14,6.54,10,14,4,40.00,237,264,27,11.39,"1,141","1,460",319,27.96,"1,692","2,052",360,21.28
,RN,MONTE DAS GAMELEIRAS,0,0,0,#DIV/0!,1,1,0,0.00,0,0,0,#DIV/0!,11,9,-2,-18.18,290,345,55,18.97,302,355,53,17.55
,RN,MOSSORO,"3,647","3,570",-77,-2.11,"7,933","8,280",347,4.37,"4,197","7,662","3,465",82.56,"14,844","15,254",410,2.76,"29,210","29,427",217,0.74,"59,831","64,193","4,362",7.29
,RN,NATAL,779,787,8,1.03,"20,461","21,738","1,277",6.24,"12,773","18,640","5,867",45.93,"46,911","49,295","2,384",5.08,"199,947","200,618",671,0.34,"280,871","291,078","10,207",3.63
,RN,NISIA FLORESTA,162,160,-2,-1.23,234,109,-125,-53.42,16,34,18,112.50,334,398,64,19.16,"1,795","2,004",209,11.64,"2,541","2,705",164,6.45
