,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Novembro de 2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ano: 2021,,Brasil,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UF,Município,Agropecuária,,,,Indústria,,,,Construção,,,,Comércio,,,,Serviços,5 - Comércio,,,Total,,,
,,,2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%),2020,2021,Vr Abs,Vr (%)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA,INHANGAPI,108,128,20,18.52,326,305,-21,-6.44,0,0,0,#DIV/0!,38,34,-4,-10.53,530,558,28,5.28,"1,002","1,025",23,2.30
,PA,IPIXUNA DO PARA,381,487,106,27.82,308,382,74,24.03,2,17,15,750.00,194,205,11,5.67,"1,845","1,771",-74,-4.01,"2,730","2,862",132,4.84
,PA,IRITUIA,111,120,9,8.11,97,162,65,67.01,7,6,-1,-14.29,115,115,0,0.00,992,"1,241",249,25.10,"1,322","1,644",322,24.36
,PA,ITAITUBA,170,155,-15,-8.82,"1,639","2,107",468,28.55,529,663,134,25.33,"3,616","4,047",431,11.92,"6,962","8,262","1,300",18.67,"12,916","15,234","2,318",17.95
,PA,ITUPIRANGA,315,339,24,7.62,86,115,29,33.72,189,101,-88,-46.56,509,532,23,4.52,"1,607","1,496",-111,-6.91,"2,706","2,583",-123,-4.55
,PA,JACAREACANGA,53,47,-6,-11.32,56,53,-3,-5.36,3,11,8,266.67,117,118,1,0.85,423,564,141,33.33,652,793,141,21.63
,PA,JACUNDA,136,147,11,8.09,446,509,63,14.13,11,54,43,390.91,879,873,-6,-0.68,"2,217","1,756",-461,-20.79,"3,689","3,339",-350,-9.49
,PA,JURUTI,52,43,-9,-17.31,600,677,77,12.83,602,817,215,35.71,497,597,100,20.12,"2,630","3,069",439,16.69,"4,381","5,203",822,18.76
,PA,LIMOEIRO DO AJURU,0,0,0,#DIV/0!,2,1,-1,-50.00,0,0,0,#DIV/0!,31,29,-2,-6.45,994,"1,416",422,42.45,"1,027","1,446",419,40.80
,PA,MAE DO RIO,199,166,-33,-16.58,125,119,-6,-4.80,8,11,3,37.50,577,669,92,15.94,"1,132","1,407",275,24.29,"2,041","2,372",331,16.22
,PA,MAGALHAES BARATA,5,5,0,0.00,7,7,0,0.00,0,0,0,#DIV/0!,7,9,2,28.57,165,259,94,56.97,184,280,96,52.17
,PA,MARABA,970,901,-69,-7.11,"7,973","8,703",730,9.16,"5,814","6,319",505,8.69,"13,648","14,429",781,5.72,"22,190","24,674","2,484",11.19,"50,595","55,026","4,431",8.76
,PA,MARACANA,77,91,14,18.18,4,4,0,0.00,17,11,-6,-35.29,42,40,-2,-4.76,"1,401","1,627",226,16.13,"1,541","1,773",232,15.06
,PA,MARAPANIM,31,36,5,16.13,17,17,0,0.00,0,1,1,#DIV/0!,173,177,4,2.31,751,"1,456",705,93.87,972,"1,687",715,73.56
,PA,MARITUBA,7,17,10,142.86,"1,437","1,578",141,9.81,788,833,45,5.71,"3,396","3,300",-96,-2.83,"6,153","7,331","1,178",19.15,"11,781","13,059","1,278",10.85
,PA,MEDICILANDIA,75,88,13,17.33,28,65,37,132.14,4,2,-2,-50.00,345,388,43,12.46,816,816,0,0.00,"1,268","1,359",91,7.18
,PA,MELGACO,0,0,0,#DIV/0!,8,6,-2,-25.00,0,0,0,#DIV/0!,75,79,4,5.33,858,866,8,0.93,941,951,10,1.06
,PA,MOCAJUBA,0,0,0,#DIV/0!,41,108,67,163.41,3,3,0,0.00,134,134,0,0.00,"1,439","1,627",188,13.06,"1,617","1,872",255,15.77
,PA,MOJU,"3,903","4,626",723,18.52,"1,126","1,237",111,9.86,20,61,41,205.00,592,611,19,3.21,"2,928","4,143","1,215",41.50,"8,569","10,678","2,109",24.61
,PA,MOJUI DOS CAMPOS,63,89,26,41.27,88,150,62,70.45,2,1,-1,-50.00,65,51,-14,-21.54,425,777,352,82.82,643,"1,068",425,66.10
,PA,MONTE ALEGRE,66,92,26,39.39,84,103,19,22.62,21,30,9,42.86,412,488,76,18.45,"2,466","2,518",52,2.11,"3,049","3,231",182,5.97
,PA,MUANA,27,29,2,7.41,9,6,-3,-33.33,0,0,0,#DIV/0!,37,43,6,16.22,971,875,-96,-9.89,"1,044",953,-91,-8.72
,PA,NOVA ESPERANCA DO PIRIA,62,75,13,20.97,1,2,1,100.00,0,0,0,#DIV/0!,95,97,2,2.11,654,701,47,7.19,812,875,63,7.76
,PA,NOVA IPIXUNA,59,70,11,18.64,126,185,59,46.83,0,1,1,#DIV/0!,129,156,27,20.93,469,670,201,42.86,783,"1,082",299,38.19
,PA,NOVA TIMBOTEUA,86,89,3,3.49,6,4,-2,-33.33,0,0,0,#DIV/0!,91,83,-8,-8.79,768,851,83,10.81,951,"1,027",76,7.99
,PA,NOVO PROGRESSO,329,402,73,22.19,593,424,-169,-28.50,22,33,11,50.00,"1,240","1,483",243,19.60,"1,694","1,409",-285,-16.82,"3,878","3,751",-127,-3.27
,PA,NOVO REPARTIMENTO,386,446,60,15.54,117,82,-35,-29.91,39,32,-7,-17.95,"1,035","1,170",135,13.04,"2,580","2,693",113,4.38,"4,157","4,423",266,6.40
,PA,OBIDOS,53,49,-4,-7.55,236,309,73,30.93,197,940,743,377.16,485,421,-64,-13.20,"2,005","2,045",40,2.00,"2,976","3,764",788,26.48
,PA,OEIRAS DO PARA,0,0,0,#DIV/0!,3,2,-1,-33.33,0,0,0,#DIV/0!,27,38,11,40.74,"1,035","1,035",0,0.00,"1,065","1,075",10,0.94
,PA,ORIXIMINA,80,82,2,2.50,"1,811","1,826",15,0.83,828,710,-118,-14.25,709,826,117,16.50,"2,765","1,307","-1,458",-52.73,"6,193","4,751","-1,442",-23.28
,PA,OUREM,25,26,1,4.00,64,66,2,3.13,0,0,0,#DIV/0!,119,75,-44,-36.97,575,710,135,23.48,783,877,94,12.01
,PA,OURILANDIA DO NORTE,162,168,6,3.70,"1,034","1,027",-7,-0.68,6,21,15,250.00,517,604,87,16.83,"1,717","1,729",12,0.70,"3,436","3,549",113,3.29
,PA,PACAJA,171,197,26,15.20,2,6,4,200.00,65,46,-19,-29.23,440,517,77,17.50,"3,290","2,176","-1,114",-33.86,"3,968","2,942","-1,026",-25.86
,PA,PALESTINA DO PARA,121,122,1,0.83,10,13,3,30.00,3,0,-3,-100.00,44,47,3,6.82,304,296,-8,-2.63,482,478,-4,-0.83
,PA,PARAGOMINAS,"2,791","2,860",69,2.47,"4,033","4,134",101,2.50,"1,458","1,481",23,1.58,"3,952","5,208","1,256",31.78,"6,087","6,615",528,8.67,"18,321","20,298","1,977",10.79
,PA,PARAUAPEBAS,323,356,33,10.22,"11,776","12,632",856,7.27,"12,649","15,095","2,446",19.34,"9,633","10,610",977,10.14,"25,491","32,784","7,293",28.61,"59,872","71,477","11,605",19.38
,PA,PAU D ARCO,208,213,5,2.40,82,71,-11,-13.41,0,0,0,#DIV/0!,41,38,-3,-7.32,281,465,184,65.48,612,787,175,28.59
,PA,PEIXE-BOI,46,94,48,104.35,2,3,1,50.00,0,0,0,#DIV/0!,6,7,1,16.67,242,223,-19,-7.85,296,327,31,10.47
,PA,PICARRA,415,449,34,8.19,159,80,-79,-49.69,1,1,0,0.00,106,115,9,8.49,492,623,131,26.63,"1,173","1,268",95,8.10
,PA,PLACAS,16,33,17,106.25,11,12,1,9.09,0,0,0,#DIV/0!,126,130,4,3.17,"1,016","1,257",241,23.72,"1,169","1,432",263,22.50
,PA,PONTA DE PEDRAS,40,45,5,12.50,4,3,-1,-25.00,0,0,0,#DIV/0!,114,120,6,5.26,822,"1,662",840,102.19,980,"1,830",850,86.73
,PA,PORTEL,122,225,103,84.43,201,152,-49,-24.38,4,3,-1,-25.00,212,212,0,0.00,"2,312","2,784",472,20.42,"2,851","3,376",525,18.41
,PA,PORTO DE MOZ,29,26,-3,-10.34,14,14,0,0.00,3,3,0,0.00,80,71,-9,-11.25,"1,656","2,383",727,43.90,"1,782","2,497",715,40.12
,PA,PRAINHA,121,150,29,23.97,21,14,-7,-33.33,0,6,6,#DIV/0!,41,48,7,17.07,"1,027","1,471",444,43.23,"1,210","1,689",479,39.59
,PA,PRIMAVERA,3,5,2,66.67,175,197,22,12.57,14,20,6,42.86,61,47,-14,-22.95,336,381,45,13.39,589,650,61,10.36
,PA,QUATIPURU,0,0,0,#DIV/0!,4,3,-1,-25.00,0,0,0,#DIV/0!,29,19,-10,-34.48,543,600,57,10.50,576,622,46,7.99
,PA,REDENCAO,689,814,125,18.14,"1,418","1,316",-102,-7.19,598,705,107,17.89,"4,323","4,463",140,3.24,"6,116","6,157",41,0.67,"13,144","13,455",311,2.37
,PA,RIO MARIA,514,520,6,1.17,824,918,94,11.41,82,55,-27,-32.93,440,405,-35,-7.95,852,"1,200",348,40.85,"2,712","3,098",386,14.23
,PA,RONDON DO PARA,682,668,-14,-2.05,538,555,17,3.16,9,6,-3,-33.33,970,843,-127,-13.09,505,"1,520","1,015",200.99,"2,704","3,592",888,32.84
,PA,RUROPOLIS,8,22,14,175.00,170,194,24,14.12,3,2,-1,-33.33,320,319,-1,-0.31,"1,659","1,711",52,3.13,"2,160","2,248",88,4.07
,PA,SALINOPOLIS,0,13,13,#DIV/0!,49,49,0,0.00,548,671,123,22.45,"1,034","1,185",151,14.60,"2,228","2,386",158,7.09,"3,859","4,304",445,11.53
,PA,SALVATERRA,28,15,-13,-46.43,46,58,12,26.09,2,14,12,600.00,140,164,24,17.14,374,"1,057",683,182.62,590,"1,308",718,121.69
,PA,SANTA BARBARA DO PARA,362,120,-242,-66.85,437,445,8,1.83,78,82,4,5.13,618,190,-428,-69.26,681,"1,439",758,111.31,"2,176","2,276",100,4.60
,PA,SANTA CRUZ DO ARARI,17,21,4,23.53,9,9,0,0.00,0,0,0,#DIV/0!,6,9,3,50.00,270,303,33,12.22,302,342,40,13.25
,PA,SANTA IZABEL DO PARA,"3,603","3,492",-111,-3.08,"1,078","1,150",72,6.68,40,81,41,102.50,"1,512","2,369",857,56.68,"1,886","2,087",201,10.66,"8,119","9,179","1,060",13.06
,PA,SANTA LUZIA DO PARA,50,116,66,132.00,0,4,4,#DIV/0!,0,0,0,#DIV/0!,68,85,17,25.00,505,893,388,76.83,623,"1,098",475,76.24
,PA,SANTA MARIA DAS BARREIRAS,944,"1,219",275,29.13,3,3,0,0.00,4,0,-4,-100.00,166,194,28,16.87,493,630,137,27.79,"1,610","2,046",436,27.08
,PA,SANTA MARIA DO PARA,65,64,-1,-1.54,319,399,80,25.08,30,10,-20,-66.67,366,443,77,21.04,800,"1,225",425,53.13,"1,580","2,141",561,35.51
,PA,SANTANA DO ARAGUAIA,"1,299","1,605",306,23.56,634,508,-126,-19.87,567,210,-357,-62.96,694,946,252,36.31,"1,320","1,745",425,32.20,"4,514","5,014",500,11.08
,PA,SANTAREM,800,981,181,22.63,"2,690","2,924",234,8.70,"1,999","1,536",-463,-23.16,"11,758","12,812","1,054",8.96,"25,454","25,665",211,0.83,"42,701","43,918","1,217",2.85
,PA,SANTAREM NOVO,9,9,0,0.00,0,0,0,#DIV/0!,0,0,0,#DIV/0!,12,10,-2,-16.67,226,245,19,8.41,247,264,17,6.88
,PA,SANTO ANTONIO DO TAUA,723,661,-62,-8.58,321,487,166,51.71,6,17,11,183.33,211,226,15,7.11,"1,192","1,437",245,20.55,"2,453","2,828",375,15.29
,PA,SAO CAETANO DE ODIVELAS,63,78,15,23.81,10,16,6,60.00,1,1,0,0.00,95,108,13,13.68,506,757,251,49.60,675,960,285,42.22
,PA,SAO DOMINGOS DO ARAGUAIA,116,133,17,14.66,85,101,16,18.82,0,0,0,#DIV/0!,356,282,-74,-20.79,"1,207","1,429",222,18.39,"1,764","1,945",181,10.26
,PA,SAO DOMINGOS DO CAPIM,130,140,10,7.69,14,13,-1,-7.14,4,21,17,425.00,75,75,0,0.00,"1,062","1,450",388,36.53,"1,285","1,699",414,32.22
,PA,SAO FELIX DO XINGU,"1,731","1,771",40,2.31,531,645,114,21.47,11,14,3,27.27,701,733,32,4.56,"2,697","2,744",47,1.74,"5,671","5,907",236,4.16
,PA,SAO FRANCISCO DO PARA,217,222,5,2.30,60,62,2,3.33,0,5,5,#DIV/0!,85,90,5,5.88,409,834,425,103.91,771,"1,213",442,57.33
,PA,SAO GERALDO DO ARAGUAIA,411,473,62,15.09,991,990,-1,-0.10,19,13,-6,-31.58,466,469,3,0.64,"1,018","1,631",613,60.22,"2,905","3,576",671,23.10
,PA,SAO JOAO DA PONTA,10,8,-2,-20.00,0,0,0,#DIV/0!,0,0,0,#DIV/0!,25,22,-3,-12.00,307,344,37,12.05,342,374,32,9.36
,PA,SAO JOAO DE PIRABAS,18,2,-16,-88.89,57,53,-4,-7.02,4,11,7,175.00,64,53,-11,-17.19,943,"1,357",414,43.90,"1,086","1,476",390,35.91
,PA,SAO JOAO DO ARAGUAIA,82,104,22,26.83,90,100,10,11.11,0,0,0,#DIV/0!,20,28,8,40.00,495,70,-425,-85.86,687,302,-385,-56.04
,PA,SAO MIGUEL DO GUAMA,142,146,4,2.82,"2,223","2,255",32,1.44,11,6,-5,-45.45,875,961,86,9.83,"1,850","3,324","1,474",79.68,"5,101","6,692","1,591",31.19
,PA,SAO SEBASTIAO DA BOA VISTA,0,0,0,#DIV/0!,3,2,-1,-33.33,0,0,0,#DIV/0!,30,24,-6,-20.00,849,926,77,9.07,882,952,70,7.94
,PA,SAPUCAIA,515,554,39,7.57,54,46,-8,-14.81,0,0,0,#DIV/0!,87,76,-11,-12.64,554,664,110,19.86,"1,210","1,340",130,10.74
,PA,SENADOR JOSE PORFIRIO,15,17,2,13.33,37,41,4,10.81,0,0,0,#DIV/0!,29,55,26,89.66,471,819,348,73.89,552,932,380,68.84
,PA,SOURE,93,103,10,10.75,10,9,-1,-10.00,0,0,0,#DIV/0!,214,186,-28,-13.08,"1,001","1,089",88,8.79,"1,318","1,387",69,5.24
,PA,TAILANDIA,"3,611","4,677","1,066",29.52,"2,812","3,070",258,9.17,254,330,76,29.92,"1,726","1,798",72,4.17,"2,642","3,334",692,26.19,"11,045","13,209","2,164",19.59
,PA,TERRA ALTA,56,72,16,28.57,2,2,0,0.00,0,0,0,#DIV/0!,43,38,-5,-11.63,265,574,309,116.60,366,686,320,87.43
,PA,TERRA SANTA,158,179,21,13.29,37,52,15,40.54,109,72,-37,-33.94,131,138,7,5.34,870,878,8,0.92,"1,305","1,319",14,1.07
,PA,TOME-ACU,"1,893","1,952",59,3.12,"2,028","2,602",574,28.30,57,197,140,245.61,"1,139","1,290",151,13.26,"2,589","2,625",36,1.39,"7,706","8,666",960,12.46
,PA,TRACUATEUA,23,23,0,0.00,39,71,32,82.05,6,4,-2,-33.33,69,58,-11,-15.94,422,"1,301",879,208.29,559,"1,457",898,160.64
,PA,TRAIRAO,22,17,-5,-22.73,42,41,-1,-2.38,4,4,0,0.00,216,233,17,7.87,668,595,-73,-10.93,952,890,-62,-6.51
,PA,TUCUMA,141,132,-9,-6.38,619,728,109,17.61,119,131,12,10.08,"1,279","1,270",-9,-0.70,"1,946","2,494",548,28.16,"4,104","4,755",651,15.86
,PA,TUCURUI,141,156,15,10.64,582,535,-47,-8.08,148,91,-57,-38.51,"2,677","3,017",340,12.70,"7,821","5,483","-2,338",-29.89,"11,369","9,282","-2,087",-18.36
,PA,ULIANOPOLIS,557,604,47,8.44,"1,599","1,930",331,20.70,31,82,51,164.52,438,465,27,6.16,"1,184","1,327",143,12.08,"3,809","4,408",599,15.73
,PA,URUARA,164,234,70,42.68,89,149,60,67.42,24,42,18,75.00,749,794,45,6.01,"1,235","1,219",-16,-1.30,"2,261","2,438",177,7.83
,PA,VIGIA,686,568,-118,-17.20,92,106,14,15.22,2,1,-1,-50.00,532,521,-11,-2.07,"1,123","1,282",159,14.16,"2,435","2,478",43,1.77
,PA,VISEU,65,108,43,66.15,10,13,3,30.00,1,0,-1,-100.00,89,96,7,7.87,"1,616","1,648",32,1.98,"1,781","1,865",84,4.72
,PA,VITORIA DO XINGU,130,151,21,16.15,0,0,0,#DIV/0!,26,28,2,7.69,99,133,34,34.34,791,699,-92,-11.63,"1,046","1,011",-35,-3.35
,PA,XINGUARA,"1,194","1,111",-83,-6.95,"2,638","2,699",61,2.31,52,73,21,40.38,"2,057","2,240",183,8.90,"2,634","3,079",445,16.89,"8,575","9,202",627,7.31
,AP,SERRA DO NAVIO,0,0,0,#DIV/0!,0,2,2,#DIV/0!,0,0,0,#DIV/0!,26,41,15,57.69,32,343,311,971.88,58,386,328,565.52
,AP,AMAPA,48,41,-7,-14.58,19,0,-19,-100.00,2,0,-2,-100.00,64,35,-29,-45.31,182,361,179,98.35,315,437,122,38.73
,AP,PEDRA BRANCA DO AMAPARI,2,2,0,0.00,478,549,71,14.85,656,759,103,15.70,43,46,3,6.98,803,790,-13,-1.62,"1,982","2,146",164,8.27
,AP,CALCOENE,5,37,32,640.00,55,41,-14,-25.45,1,0,-1,-100.00,77,81,4,5.19,387,47,-340,-87.86,525,206,-319,-60.76
,AP,CUTIAS,23,33,10,43.48,0,0,0,#DIV/0!,0,0,0,#DIV/0!,26,25,-1,-3.85,389,393,4,1.03,438,451,13,2.97
,AP,FERREIRA GOMES,2,2,0,0.00,98,100,2,2.04,0,0,0,#DIV/0!,37,48,11,29.73,574,580,6,1.05,711,730,19,2.67
,AP,ITAUBAL,20,17,-3,-15.00,0,0,0,#DIV/0!,0,0,0,#DIV/0!,8,7,-1,-12.50,364,365,1,0.27,392,389,-3,-0.77
,AP,LARANJAL DO JARI,2,2,0,0.00,42,49,7,16.67,32,103,71,221.88,553,544,-9,-1.63,"1,273","2,111",838,65.83,"1,902","2,809",907,47.69
,AP,MACAPA,375,321,-54,-14.40,"2,259","2,449",190,8.41,"3,213","3,789",576,17.93,"21,390","21,099",-291,-1.36,"78,386","74,314","-4,072",-5.19,"105,623","101,972","-3,651",-3.46
,AP,MAZAGAO,1,85,84,8400.00,196,383,187,95.41,47,28,-19,-40.43,56,124,68,121.43,94,103,9,9.57,394,723,329,83.50
,AP,OIAPOQUE,1,1,0,0.00,73,68,-5,-6.85,0,0,0,#DIV/0!,367,463,96,26.16,180,483,303,168.33,621,"1,015",394,63.45
,AP,PORTO GRANDE,404,426,22,5.45,51,44,-7,-13.73,74,43,-31,-41.89,128,130,2,1.56,"1,149","1,105",-44,-3.83,"1,806","1,748",-58,-3.21
,AP,PRACUUBA,0,4,4,#DIV/0!,0,0,0,#DIV/0!,0,0,0,#DIV/0!,4,7,3,75.00,295,278,-17,-5.76,299,289,-10,-3.34
,AP,SANTANA,15,30,15,100.00,743,770,27,3.63,171,325,154,90.06,"2,748","2,915",167,6.08,"4,685","6,688","2,003",42.75,"8,362","10,728","2,366",28.29
,AP,TARTARUGALZINHO,104,102,-2,-1.92,2,2,0,0.00,0,0,0,#DIV/0!,30,35,5,16.67,616,"1,038",422,68.51,752,"1,177",425,56.52
,AP,VITORIA DO JARI,0,0,0,#DIV/0!,34,35,1,2.94,21,26,5,23.81,54,60,6,11.11,330,383,53,16.06,439,504,65,14.81
,TO,ABREULANDIA,86,137,51,59.30,3,4,1,33.33,1,0,-1,-100.00,10,13,3,30.00,94,124,30,31.91,194,278,84,43.30
,TO,AGUIARNOPOLIS,"1,011","1,067",56,5.54,5,7,2,40.00,0,5,5,#DIV/0!,75,75,0,0.00,250,335,85,34.00,"1,341","1,489",148,11.04
,TO,ALIANCA DO TOCANTINS,152,172,20,13.16,53,37,-16,-30.19,6,3,-3,-50.00,99,116,17,17.17,218,392,174,79.82,528,720,192,36.36
,TO,ALMAS,129,182,53,41.09,37,53,16,43.24,0,13,13,#DIV/0!,55,57,2,3.64,25,331,306,1224.00,246,636,390,158.54
,TO,ALVORADA,159,236,77,48.43,482,547,65,13.49,21,27,6,28.57,220,278,58,26.36,527,510,-17,-3.23,"1,409","1,598",189,13.41
,TO,ANANAS,213,210,-3,-1.41,20,19,-1,-5.00,2,2,0,0.00,137,136,-1,-0.73,459,515,56,12.20,831,882,51,6.14
,TO,ANGICO,75,59,-16,-21.33,4,8,4,100.00,0,0,0,#DIV/0!,6,8,2,33.33,112,163,51,45.54,197,238,41,20.81
,TO,APARECIDA DO RIO NEGRO,168,216,48,28.57,47,48,1,2.13,0,0,0,#DIV/0!,32,41,9,28.13,362,301,-61,-16.85,609,606,-3,-0.49
,TO,ARAGOMINAS,166,167,1,0.60,5,0,-5,-100.00,0,0,0,#DIV/0!,3,7,4,133.33,165,201,36,21.82,339,375,36,10.62
,TO,ARAGUACEMA,145,197,52,35.86,17,19,2,11.76,4,0,-4,-100.00,44,47,3,6.82,407,315,-92,-22.60,617,578,-39,-6.32
,TO,ARAGUACU,591,639,48,8.12,15,14,-1,-6.67,2,0,-2,-100.00,154,163,9,5.84,443,498,55,12.42,"1,205","1,314",109,9.05
,TO,ARAGUAINA,"1,247",851,-396,-31.76,"3,848","4,294",446,11.59,"1,259","1,136",-123,-9.77,"9,693","10,307",614,6.33,"14,673","18,980","4,307",29.35,"30,720","35,568","4,848",15.78
,TO,ARAGUANA,233,251,18,7.73,0,0,0,#DIV/0!,1,0,-1,-100.00,32,32,0,0.00,201,206,5,2.49,467,489,22,4.71
,TO,ARAGUATINS,196,158,-38,-19.39,154,497,343,222.73,9,43,34,377.78,545,651,106,19.45,"1,048","1,115",67,6.39,"1,952","2,464",512,26.23
,TO,ARAPOEMA,311,302,-9,-2.89,15,17,2,13.33,"2,760","2,237",-523,-18.95,79,79,0,0.00,263,288,25,9.51,"3,428","2,923",-505,-14.73
,TO,ARRAIAS,174,145,-29,-16.67,67,105,38,56.72,0,3,3,#DIV/0!,151,153,2,1.32,370,482,112,30.27,762,888,126,16.54
,TO,AUGUSTINOPOLIS,57,67,10,17.54,212,222,10,4.72,13,12,-1,-7.69,471,478,7,1.49,677,741,64,9.45,"1,430","1,520",90,6.29
,TO,AURORA DO TOCANTINS,20,23,3,15.00,12,9,-3,-25.00,8,3,-5,-62.50,8,8,0,0.00,174,13,-161,-92.53,222,56,-166,-74.77
,TO,AXIXA DO TOCANTINS,32,31,-1,-3.13,18,18,0,0.00,0,0,0,#DIV/0!,98,120,22,22.45,470,625,155,32.98,618,794,176,28.48
,TO,BABACULANDIA,399,135,-264,-66.17,3,14,11,366.67,0,0,0,#DIV/0!,20,14,-6,-30.00,287,366,79,27.53,709,529,-180,-25.39
,TO,BANDEIRANTES DO TOCANTINS,271,276,5,1.85,109,219,110,100.92,0,0,0,#DIV/0!,14,18,4,28.57,183,209,26,14.21,577,722,145,25.13
,TO,BARRA DO OURO,83,77,-6,-7.23,7,9,2,28.57,0,0,0,#DIV/0!,18,12,-6,-33.33,170,184,14,8.24,278,282,4,1.44
,TO,BARROLANDIA,75,62,-13,-17.33,7,7,0,0.00,11,10,-1,-9.09,76,56,-20,-26.32,351,355,4,1.14,520,490,-30,-5.77
,TO,BERNARDO SAYAO,184,193,9,4.89,61,60,-1,-1.64,0,0,0,#DIV/0!,25,22,-3,-12.00,159,180,21,13.21,429,455,26,6.06
,TO,BOM JESUS DO TOCANTINS,58,71,13,22.41,42,66,24,57.14,0,0,0,#DIV/0!,6,11,5,83.33,156,176,20,12.82,262,324,62,23.66
,TO,BRASILANDIA DO TOCANTINS,92,109,17,18.48,0,0,0,#DIV/0!,0,0,0,#DIV/0!,16,38,22,137.50,183,220,37,20.22,291,367,76,26.12
,TO,BREJINHO DE NAZARE,345,294,-51,-14.78,7,5,-2,-28.57,1,0,-1,-100.00,45,46,1,2.22,280,345,65,23.21,678,690,12,1.77
,TO,BURITI DO TOCANTINS,14,13,-1,-7.14,44,38,-6,-13.64,0,0,0,#DIV/0!,86,88,2,2.33,351,412,61,17.38,495,551,56,11.31
,TO,CACHOEIRINHA,33,43,10,30.30,0,0,0,#DIV/0!,0,0,0,#DIV/0!,3,4,1,33.33,136,184,48,35.29,172,231,59,34.30
,TO,CAMPOS LINDOS,530,661,131,24.72,17,30,13,76.47,5,0,-5,-100.00,146,179,33,22.60,158,427,269,170.25,856,"1,297",441,51.52
,TO,CARIRI DO TOCANTINS,235,279,44,18.72,220,236,16,7.27,34,51,17,50.00,176,196,20,11.36,503,491,-12,-2.39,"1,168","1,253",85,7.28
,TO,CARMOLANDIA,96,75,-21,-21.88,0,0,0,#DIV/0!,2,0,-2,-100.00,11,9,-2,-18.18,157,194,37,23.57,266,278,12,4.51
,TO,CARRASCO BONITO,16,15,-1,-6.25,0,0,0,#DIV/0!,0,0,0,#DIV/0!,2,3,1,50.00,164,321,157,95.73,182,339,157,86.26
,TO,CASEARA,378,383,5,1.32,34,48,14,41.18,0,0,0,#DIV/0!,34,43,9,26.47,235,376,141,60.00,681,850,169,24.82
,TO,CENTENARIO,45,28,-17,-37.78,0,0,0,#DIV/0!,0,0,0,#DIV/0!,12,15,3,25.00,173,126,-47,-27.17,230,169,-61,-26.52
,TO,CHAPADA DE AREIA,28,33,5,17.86,2,6,4,200.00,0,0,0,#DIV/0!,3,10,7,233.33,58,167,109,187.93,91,216,125,137.36
,TO,CHAPADA DA NATIVIDADE,84,92,8,9.52,115,151,36,31.30,0,0,0,#DIV/0!,10,10,0,0.00,135,191,56,41.48,344,444,100,29.07
,TO,COLINAS DO TOCANTINS,205,248,43,20.98,393,398,5,1.27,97,166,69,71.13,"1,461","1,530",69,4.72,"2,044","1,990",-54,-2.64,"4,200","4,332",132,3.14
,TO,COMBINADO,9,10,1,11.11,25,31,6,24.00,0,0,0,#DIV/0!,103,100,-3,-2.91,149,208,59,39.60,286,349,63,22.03
,TO,CONCEICAO DO TOCANTINS,42,61,19,45.24,4,4,0,0.00,1,0,-1,-100.00,50,45,-5,-10.00,156,174,18,11.54,253,284,31,12.25
,TO,COUTO MAGALHAES,122,153,31,25.41,5,7,2,40.00,35,41,6,17.14,85,105,20,23.53,160,237,77,48.13,407,543,136,33.42
