Area,Setor,Municipio,Empregados
Educação,Serviços,Iperó,3306
Serviços,Serviços,Iperó,3306
Saúde e bem-estar,Serviços,Iperó,3306
"Agricultura, silvicultura, pesca e veterinária",Serviços,Iperó,3306
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Iperó,3306
"Ciências naturais, matemática e estatística",Serviços,Iperó,3306
"Negócios, administração e direito",Serviços,Iperó,3306
"Ciências sociais, comunicação e informação",Serviços,Iperó,3306
Artes e humanidades,Serviços,Iperó,3306
Educação,Serviços,Ilha Solteira,3304
Serviços,Serviços,Ilha Solteira,3304
Saúde e bem-estar,Serviços,Ilha Solteira,3304
"Agricultura, silvicultura, pesca e veterinária",Serviços,Ilha Solteira,3304
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Ilha Solteira,3304
"Ciências naturais, matemática e estatística",Serviços,Ilha Solteira,3304
"Negócios, administração e direito",Serviços,Ilha Solteira,3304
"Ciências sociais, comunicação e informação",Serviços,Ilha Solteira,3304
Artes e humanidades,Serviços,Ilha Solteira,3304
"Negócios, administração e direito",Comércio,Francisco Morato,3304
Serviços,Comércio,Francisco Morato,3304
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Francisco Morato,3304
"Ciências naturais, matemática e estatística",Comércio,Francisco Morato,3304
Educação,Serviços,Araçoiaba da Serra,3301
Serviços,Serviços,Araçoiaba da Serra,3301
Saúde e bem-estar,Serviços,Araçoiaba da Serra,3301
"Agricultura, silvicultura, pesca e veterinária",Serviços,Araçoiaba da Serra,3301
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Araçoiaba da Serra,3301
"Ciências naturais, matemática e estatística",Serviços,Araçoiaba da Serra,3301
"Negócios, administração e direito",Serviços,Araçoiaba da Serra,3301
"Ciências sociais, comunicação e informação",Serviços,Araçoiaba da Serra,3301
Artes e humanidades,Serviços,Araçoiaba da Serra,3301
Educação,Serviços,Mirante do Paranapanema,3284
Serviços,Serviços,Mirante do Paranapanema,3284
Saúde e bem-estar,Serviços,Mirante do Paranapanema,3284
"Agricultura, silvicultura, pesca e veterinária",Serviços,Mirante do Paranapanema,3284
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Mirante do Paranapanema,3284
"Ciências naturais, matemática e estatística",Serviços,Mirante do Paranapanema,3284
"Negócios, administração e direito",Serviços,Mirante do Paranapanema,3284
"Ciências sociais, comunicação e informação",Serviços,Mirante do Paranapanema,3284
Artes e humanidades,Serviços,Mirante do Paranapanema,3284
Educação,Serviços,São Manuel,3284
Serviços,Serviços,São Manuel,3284
Saúde e bem-estar,Serviços,São Manuel,3284
"Agricultura, silvicultura, pesca e veterinária",Serviços,São Manuel,3284
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,São Manuel,3284
"Ciências naturais, matemática e estatística",Serviços,São Manuel,3284
"Negócios, administração e direito",Serviços,São Manuel,3284
"Ciências sociais, comunicação e informação",Serviços,São Manuel,3284
Artes e humanidades,Serviços,São Manuel,3284
Educação,Serviços,Itápolis,3270
Serviços,Serviços,Itápolis,3270
Saúde e bem-estar,Serviços,Itápolis,3270
"Agricultura, silvicultura, pesca e veterinária",Serviços,Itápolis,3270
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Itápolis,3270
"Ciências naturais, matemática e estatística",Serviços,Itápolis,3270
"Negócios, administração e direito",Serviços,Itápolis,3270
"Ciências sociais, comunicação e informação",Serviços,Itápolis,3270
Artes e humanidades,Serviços,Itápolis,3270
Educação,Serviços,Guariba,3261
Serviços,Serviços,Guariba,3261
Saúde e bem-estar,Serviços,Guariba,3261
"Agricultura, silvicultura, pesca e veterinária",Serviços,Guariba,3261
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Guariba,3261
"Ciências naturais, matemática e estatística",Serviços,Guariba,3261
"Negócios, administração e direito",Serviços,Guariba,3261
"Ciências sociais, comunicação e informação",Serviços,Guariba,3261
Artes e humanidades,Serviços,Guariba,3261
Educação,Serviços,Santo Anastácio,3253
Serviços,Serviços,Santo Anastácio,3253
Saúde e bem-estar,Serviços,Santo Anastácio,3253
"Agricultura, silvicultura, pesca e veterinária",Serviços,Santo Anastácio,3253
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Santo Anastácio,3253
"Ciências naturais, matemática e estatística",Serviços,Santo Anastácio,3253
"Negócios, administração e direito",Serviços,Santo Anastácio,3253
"Ciências sociais, comunicação e informação",Serviços,Santo Anastácio,3253
Artes e humanidades,Serviços,Santo Anastácio,3253
Educação,Serviços,Embu-Guaçu,3251
Serviços,Serviços,Embu-Guaçu,3251
Saúde e bem-estar,Serviços,Embu-Guaçu,3251
"Agricultura, silvicultura, pesca e veterinária",Serviços,Embu-Guaçu,3251
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Embu-Guaçu,3251
"Ciências naturais, matemática e estatística",Serviços,Embu-Guaçu,3251
"Negócios, administração e direito",Serviços,Embu-Guaçu,3251
"Ciências sociais, comunicação e informação",Serviços,Embu-Guaçu,3251
Artes e humanidades,Serviços,Embu-Guaçu,3251
Educação,Serviços,Colina,3250
Serviços,Serviços,Colina,3250
Saúde e bem-estar,Serviços,Colina,3250
"Agricultura, silvicultura, pesca e veterinária",Serviços,Colina,3250
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Colina,3250
"Ciências naturais, matemática e estatística",Serviços,Colina,3250
"Negócios, administração e direito",Serviços,Colina,3250
"Ciências sociais, comunicação e informação",Serviços,Colina,3250
Artes e humanidades,Serviços,Colina,3250
"Ciências naturais, matemática e estatística",Indústria,Guariba,3245
"Agricultura, silvicultura, pesca e veterinária",Indústria,Guariba,3245
"Engenharia, produção e construção",Indústria,Guariba,3245
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Guariba,3245
"Ciências naturais, matemática e estatística",Indústria,Paraguaçu Paulista,3227
"Agricultura, silvicultura, pesca e veterinária",Indústria,Paraguaçu Paulista,3227
"Engenharia, produção e construção",Indústria,Paraguaçu Paulista,3227
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Paraguaçu Paulista,3227
Educação,Serviços,Presidente Epitácio,3226
Serviços,Serviços,Presidente Epitácio,3226
Saúde e bem-estar,Serviços,Presidente Epitácio,3226
"Agricultura, silvicultura, pesca e veterinária",Serviços,Presidente Epitácio,3226
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Presidente Epitácio,3226
"Ciências naturais, matemática e estatística",Serviços,Presidente Epitácio,3226
"Negócios, administração e direito",Serviços,Presidente Epitácio,3226
"Ciências sociais, comunicação e informação",Serviços,Presidente Epitácio,3226
Artes e humanidades,Serviços,Presidente Epitácio,3226
"Negócios, administração e direito",Comércio,Monte Alto,3222
Serviços,Comércio,Monte Alto,3222
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Monte Alto,3222
"Ciências naturais, matemática e estatística",Comércio,Monte Alto,3222
"Engenharia, produção e construção",Agropecuária,Colômbia,3207
"Agricultura, silvicultura, pesca e veterinária",Agropecuária,Colômbia,3207
"Ciências naturais, matemática e estatística",Indústria,Salto de Pirapora,3198
"Agricultura, silvicultura, pesca e veterinária",Indústria,Salto de Pirapora,3198
"Engenharia, produção e construção",Indústria,Salto de Pirapora,3198
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Salto de Pirapora,3198
Educação,Serviços,Promissão,3198
Serviços,Serviços,Promissão,3198
Saúde e bem-estar,Serviços,Promissão,3198
"Agricultura, silvicultura, pesca e veterinária",Serviços,Promissão,3198
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Promissão,3198
"Ciências naturais, matemática e estatística",Serviços,Promissão,3198
"Negócios, administração e direito",Serviços,Promissão,3198
"Ciências sociais, comunicação e informação",Serviços,Promissão,3198
Artes e humanidades,Serviços,Promissão,3198
"Ciências naturais, matemática e estatística",Indústria,Mairinque,3164
"Agricultura, silvicultura, pesca e veterinária",Indústria,Mairinque,3164
"Engenharia, produção e construção",Indústria,Mairinque,3164
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Mairinque,3164
Educação,Serviços,Piedade,3163
Serviços,Serviços,Piedade,3163
Saúde e bem-estar,Serviços,Piedade,3163
"Agricultura, silvicultura, pesca e veterinária",Serviços,Piedade,3163
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Piedade,3163
"Ciências naturais, matemática e estatística",Serviços,Piedade,3163
"Negócios, administração e direito",Serviços,Piedade,3163
"Ciências sociais, comunicação e informação",Serviços,Piedade,3163
Artes e humanidades,Serviços,Piedade,3163
Educação,Serviços,Laranjal Paulista,3119
Serviços,Serviços,Laranjal Paulista,3119
Saúde e bem-estar,Serviços,Laranjal Paulista,3119
"Agricultura, silvicultura, pesca e veterinária",Serviços,Laranjal Paulista,3119
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Laranjal Paulista,3119
"Ciências naturais, matemática e estatística",Serviços,Laranjal Paulista,3119
"Negócios, administração e direito",Serviços,Laranjal Paulista,3119
"Ciências sociais, comunicação e informação",Serviços,Laranjal Paulista,3119
Artes e humanidades,Serviços,Laranjal Paulista,3119
Educação,Serviços,Brotas,3119
Serviços,Serviços,Brotas,3119
Saúde e bem-estar,Serviços,Brotas,3119
"Agricultura, silvicultura, pesca e veterinária",Serviços,Brotas,3119
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Brotas,3119
"Ciências naturais, matemática e estatística",Serviços,Brotas,3119
"Negócios, administração e direito",Serviços,Brotas,3119
"Ciências sociais, comunicação e informação",Serviços,Brotas,3119
Artes e humanidades,Serviços,Brotas,3119
Educação,Serviços,Pariquera-Açu,3115
Serviços,Serviços,Pariquera-Açu,3115
Saúde e bem-estar,Serviços,Pariquera-Açu,3115
"Agricultura, silvicultura, pesca e veterinária",Serviços,Pariquera-Açu,3115
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Pariquera-Açu,3115
"Ciências naturais, matemática e estatística",Serviços,Pariquera-Açu,3115
"Negócios, administração e direito",Serviços,Pariquera-Açu,3115
"Ciências sociais, comunicação e informação",Serviços,Pariquera-Açu,3115
Artes e humanidades,Serviços,Pariquera-Açu,3115
Educação,Serviços,Casa Branca,3111
Serviços,Serviços,Casa Branca,3111
Saúde e bem-estar,Serviços,Casa Branca,3111
"Agricultura, silvicultura, pesca e veterinária",Serviços,Casa Branca,3111
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Casa Branca,3111
"Ciências naturais, matemática e estatística",Serviços,Casa Branca,3111
"Negócios, administração e direito",Serviços,Casa Branca,3111
"Ciências sociais, comunicação e informação",Serviços,Casa Branca,3111
Artes e humanidades,Serviços,Casa Branca,3111
"Ciências naturais, matemática e estatística",Indústria,Guapiaçu,3104
"Agricultura, silvicultura, pesca e veterinária",Indústria,Guapiaçu,3104
"Engenharia, produção e construção",Indústria,Guapiaçu,3104
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Guapiaçu,3104
"Ciências naturais, matemática e estatística",Indústria,Garça,3062
"Agricultura, silvicultura, pesca e veterinária",Indústria,Garça,3062
"Engenharia, produção e construção",Indústria,Garça,3062
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Garça,3062
"Ciências naturais, matemática e estatística",Indústria,Patrocínio Paulista,3013
"Agricultura, silvicultura, pesca e veterinária",Indústria,Patrocínio Paulista,3013
"Engenharia, produção e construção",Indústria,Patrocínio Paulista,3013
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Patrocínio Paulista,3013
Educação,Serviços,Aguaí,2981
Serviços,Serviços,Aguaí,2981
Saúde e bem-estar,Serviços,Aguaí,2981
"Agricultura, silvicultura, pesca e veterinária",Serviços,Aguaí,2981
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Aguaí,2981
"Ciências naturais, matemática e estatística",Serviços,Aguaí,2981
"Negócios, administração e direito",Serviços,Aguaí,2981
"Ciências sociais, comunicação e informação",Serviços,Aguaí,2981
Artes e humanidades,Serviços,Aguaí,2981
"Engenharia, produção e construção",Construção,Santana de Parnaíba,2971
"Ciências naturais, matemática e estatística",Indústria,Colina,2971
"Agricultura, silvicultura, pesca e veterinária",Indústria,Colina,2971
"Engenharia, produção e construção",Indústria,Colina,2971
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Colina,2971
Educação,Serviços,Cajati,2968
Serviços,Serviços,Cajati,2968
Saúde e bem-estar,Serviços,Cajati,2968
"Agricultura, silvicultura, pesca e veterinária",Serviços,Cajati,2968
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Cajati,2968
"Ciências naturais, matemática e estatística",Serviços,Cajati,2968
"Negócios, administração e direito",Serviços,Cajati,2968
"Ciências sociais, comunicação e informação",Serviços,Cajati,2968
Artes e humanidades,Serviços,Cajati,2968
"Negócios, administração e direito",Comércio,Capivari,2965
Serviços,Comércio,Capivari,2965
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Capivari,2965
"Ciências naturais, matemática e estatística",Comércio,Capivari,2965
"Engenharia, produção e construção",Construção,Cubatão,2952
"Engenharia, produção e construção",Construção,Sumaré,2922
"Ciências naturais, matemática e estatística",Indústria,São Manuel,2898
"Agricultura, silvicultura, pesca e veterinária",Indústria,São Manuel,2898
"Engenharia, produção e construção",Indústria,São Manuel,2898
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,São Manuel,2898
"Ciências naturais, matemática e estatística",Indústria,Taguaí,2896
"Agricultura, silvicultura, pesca e veterinária",Indústria,Taguaí,2896
"Engenharia, produção e construção",Indústria,Taguaí,2896
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Taguaí,2896
"Engenharia, produção e construção",Agropecuária,Mococa,2879
"Agricultura, silvicultura, pesca e veterinária",Agropecuária,Mococa,2879
"Ciências naturais, matemática e estatística",Indústria,Narandiba,2871
"Agricultura, silvicultura, pesca e veterinária",Indústria,Narandiba,2871
"Engenharia, produção e construção",Indústria,Narandiba,2871
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Narandiba,2871
Educação,Serviços,Bady Bassitt,2864
Serviços,Serviços,Bady Bassitt,2864
Saúde e bem-estar,Serviços,Bady Bassitt,2864
"Agricultura, silvicultura, pesca e veterinária",Serviços,Bady Bassitt,2864
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Bady Bassitt,2864
"Ciências naturais, matemática e estatística",Serviços,Bady Bassitt,2864
"Negócios, administração e direito",Serviços,Bady Bassitt,2864
"Ciências sociais, comunicação e informação",Serviços,Bady Bassitt,2864
Artes e humanidades,Serviços,Bady Bassitt,2864
"Negócios, administração e direito",Comércio,São Joaquim da Barra,2854
Serviços,Comércio,São Joaquim da Barra,2854
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,São Joaquim da Barra,2854
"Ciências naturais, matemática e estatística",Comércio,São Joaquim da Barra,2854
"Negócios, administração e direito",Comércio,Campo Limpo Paulista,2854
Serviços,Comércio,Campo Limpo Paulista,2854
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Campo Limpo Paulista,2854
"Ciências naturais, matemática e estatística",Comércio,Campo Limpo Paulista,2854
"Engenharia, produção e construção",Construção,Carapicuíba,2842
Educação,Serviços,Iracemápolis,2830
Serviços,Serviços,Iracemápolis,2830
Saúde e bem-estar,Serviços,Iracemápolis,2830
"Agricultura, silvicultura, pesca e veterinária",Serviços,Iracemápolis,2830
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Iracemápolis,2830
"Ciências naturais, matemática e estatística",Serviços,Iracemápolis,2830
"Negócios, administração e direito",Serviços,Iracemápolis,2830
"Ciências sociais, comunicação e informação",Serviços,Iracemápolis,2830
Artes e humanidades,Serviços,Iracemápolis,2830
Educação,Serviços,Juquitiba,2823
Serviços,Serviços,Juquitiba,2823
Saúde e bem-estar,Serviços,Juquitiba,2823
"Agricultura, silvicultura, pesca e veterinária",Serviços,Juquitiba,2823
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Juquitiba,2823
"Ciências naturais, matemática e estatística",Serviços,Juquitiba,2823
"Negócios, administração e direito",Serviços,Juquitiba,2823
"Ciências sociais, comunicação e informação",Serviços,Juquitiba,2823
Artes e humanidades,Serviços,Juquitiba,2823
"Negócios, administração e direito",Comércio,Porto Feliz,2816
Serviços,Comércio,Porto Feliz,2816
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Porto Feliz,2816
"Ciências naturais, matemática e estatística",Comércio,Porto Feliz,2816
"Negócios, administração e direito",Comércio,Pedreira,2816
Serviços,Comércio,Pedreira,2816
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Pedreira,2816
"Ciências naturais, matemática e estatística",Comércio,Pedreira,2816
"Engenharia, produção e construção",Construção,Marília,2813
Educação,Serviços,Pirapozinho,2804
Serviços,Serviços,Pirapozinho,2804
Saúde e bem-estar,Serviços,Pirapozinho,2804
"Agricultura, silvicultura, pesca e veterinária",Serviços,Pirapozinho,2804
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Pirapozinho,2804
"Ciências naturais, matemática e estatística",Serviços,Pirapozinho,2804
"Negócios, administração e direito",Serviços,Pirapozinho,2804
"Ciências sociais, comunicação e informação",Serviços,Pirapozinho,2804
Artes e humanidades,Serviços,Pirapozinho,2804
Educação,Serviços,Bariri,2803
Serviços,Serviços,Bariri,2803
Saúde e bem-estar,Serviços,Bariri,2803
"Agricultura, silvicultura, pesca e veterinária",Serviços,Bariri,2803
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Bariri,2803
"Ciências naturais, matemática e estatística",Serviços,Bariri,2803
"Negócios, administração e direito",Serviços,Bariri,2803
"Ciências sociais, comunicação e informação",Serviços,Bariri,2803
Artes e humanidades,Serviços,Bariri,2803
"Negócios, administração e direito",Comércio,Adamantina,2802
Serviços,Comércio,Adamantina,2802
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Adamantina,2802
"Ciências naturais, matemática e estatística",Comércio,Adamantina,2802
"Ciências naturais, matemática e estatística",Indústria,Jardinópolis,2802
"Agricultura, silvicultura, pesca e veterinária",Indústria,Jardinópolis,2802
"Engenharia, produção e construção",Indústria,Jardinópolis,2802
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Jardinópolis,2802
"Negócios, administração e direito",Comércio,Aparecida,2793
Serviços,Comércio,Aparecida,2793
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Aparecida,2793
"Ciências naturais, matemática e estatística",Comércio,Aparecida,2793
"Ciências naturais, matemática e estatística",Indústria,Tupã,2792
"Agricultura, silvicultura, pesca e veterinária",Indústria,Tupã,2792
"Engenharia, produção e construção",Indústria,Tupã,2792
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Tupã,2792
"Negócios, administração e direito",Comércio,Taquaritinga,2791
Serviços,Comércio,Taquaritinga,2791
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Taquaritinga,2791
"Ciências naturais, matemática e estatística",Comércio,Taquaritinga,2791
Educação,Serviços,Morro Agudo,2788
Serviços,Serviços,Morro Agudo,2788
Saúde e bem-estar,Serviços,Morro Agudo,2788
"Agricultura, silvicultura, pesca e veterinária",Serviços,Morro Agudo,2788
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Morro Agudo,2788
"Ciências naturais, matemática e estatística",Serviços,Morro Agudo,2788
"Negócios, administração e direito",Serviços,Morro Agudo,2788
"Ciências sociais, comunicação e informação",Serviços,Morro Agudo,2788
Artes e humanidades,Serviços,Morro Agudo,2788
"Engenharia, produção e construção",Construção,Americana,2751
"Ciências naturais, matemática e estatística",Indústria,Gavião Peixoto,2739
"Agricultura, silvicultura, pesca e veterinária",Indústria,Gavião Peixoto,2739
"Engenharia, produção e construção",Indústria,Gavião Peixoto,2739
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Gavião Peixoto,2739
"Ciências naturais, matemática e estatística",Indústria,Tanabi,2721
"Agricultura, silvicultura, pesca e veterinária",Indústria,Tanabi,2721
"Engenharia, produção e construção",Indústria,Tanabi,2721
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Tanabi,2721
Educação,Serviços,Pompéia,2718
Serviços,Serviços,Pompéia,2718
Saúde e bem-estar,Serviços,Pompéia,2718
"Agricultura, silvicultura, pesca e veterinária",Serviços,Pompéia,2718
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Pompéia,2718
"Ciências naturais, matemática e estatística",Serviços,Pompéia,2718
"Negócios, administração e direito",Serviços,Pompéia,2718
"Ciências sociais, comunicação e informação",Serviços,Pompéia,2718
Artes e humanidades,Serviços,Pompéia,2718
"Ciências naturais, matemática e estatística",Indústria,Tambaú,2702
"Agricultura, silvicultura, pesca e veterinária",Indústria,Tambaú,2702
"Engenharia, produção e construção",Indústria,Tambaú,2702
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Tambaú,2702
Educação,Serviços,Salto de Pirapora,2686
Serviços,Serviços,Salto de Pirapora,2686
Saúde e bem-estar,Serviços,Salto de Pirapora,2686
"Agricultura, silvicultura, pesca e veterinária",Serviços,Salto de Pirapora,2686
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Salto de Pirapora,2686
"Ciências naturais, matemática e estatística",Serviços,Salto de Pirapora,2686
"Negócios, administração e direito",Serviços,Salto de Pirapora,2686
"Ciências sociais, comunicação e informação",Serviços,Salto de Pirapora,2686
Artes e humanidades,Serviços,Salto de Pirapora,2686
"Engenharia, produção e construção",Construção,Hortolândia,2681
Educação,Serviços,Junqueirópolis,2646
Serviços,Serviços,Junqueirópolis,2646
Saúde e bem-estar,Serviços,Junqueirópolis,2646
"Agricultura, silvicultura, pesca e veterinária",Serviços,Junqueirópolis,2646
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Junqueirópolis,2646
"Ciências naturais, matemática e estatística",Serviços,Junqueirópolis,2646
"Negócios, administração e direito",Serviços,Junqueirópolis,2646
"Ciências sociais, comunicação e informação",Serviços,Junqueirópolis,2646
Artes e humanidades,Serviços,Junqueirópolis,2646
"Engenharia, produção e construção",Construção,Presidente Prudente,2612
"Engenharia, produção e construção",Agropecuária,Bastos,2606
"Agricultura, silvicultura, pesca e veterinária",Agropecuária,Bastos,2606
"Engenharia, produção e construção",Agropecuária,Barretos,2603
"Agricultura, silvicultura, pesca e veterinária",Agropecuária,Barretos,2603
Educação,Serviços,Igarapava,2589
Serviços,Serviços,Igarapava,2589
Saúde e bem-estar,Serviços,Igarapava,2589
"Agricultura, silvicultura, pesca e veterinária",Serviços,Igarapava,2589
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Igarapava,2589
"Ciências naturais, matemática e estatística",Serviços,Igarapava,2589
"Negócios, administração e direito",Serviços,Igarapava,2589
"Ciências sociais, comunicação e informação",Serviços,Igarapava,2589
Artes e humanidades,Serviços,Igarapava,2589
"Ciências naturais, matemática e estatística",Indústria,Nuporanga,2585
"Agricultura, silvicultura, pesca e veterinária",Indústria,Nuporanga,2585
"Engenharia, produção e construção",Indústria,Nuporanga,2585
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Nuporanga,2585
"Ciências naturais, matemática e estatística",Indústria,Vista Alegre do Alto,2584
"Agricultura, silvicultura, pesca e veterinária",Indústria,Vista Alegre do Alto,2584
"Engenharia, produção e construção",Indústria,Vista Alegre do Alto,2584
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Vista Alegre do Alto,2584
Educação,Serviços,Pirajuí,2581
Serviços,Serviços,Pirajuí,2581
Saúde e bem-estar,Serviços,Pirajuí,2581
"Agricultura, silvicultura, pesca e veterinária",Serviços,Pirajuí,2581
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Pirajuí,2581
"Ciências naturais, matemática e estatística",Serviços,Pirajuí,2581
"Negócios, administração e direito",Serviços,Pirajuí,2581
"Ciências sociais, comunicação e informação",Serviços,Pirajuí,2581
Artes e humanidades,Serviços,Pirajuí,2581
"Negócios, administração e direito",Comércio,Santo Antônio de Posse,2578
Serviços,Comércio,Santo Antônio de Posse,2578
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Santo Antônio de Posse,2578
"Ciências naturais, matemática e estatística",Comércio,Santo Antônio de Posse,2578
"Negócios, administração e direito",Comércio,Embu-Guaçu,2577
Serviços,Comércio,Embu-Guaçu,2577
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Embu-Guaçu,2577
"Ciências naturais, matemática e estatística",Comércio,Embu-Guaçu,2577
"Ciências naturais, matemática e estatística",Indústria,Ribeirão Preto,2571
"Agricultura, silvicultura, pesca e veterinária",Indústria,Ribeirão Preto,2571
"Engenharia, produção e construção",Indústria,Ribeirão Preto,2571
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Ribeirão Preto,2571
Educação,Serviços,Valparaíso,2559
Serviços,Serviços,Valparaíso,2559
Saúde e bem-estar,Serviços,Valparaíso,2559
"Agricultura, silvicultura, pesca e veterinária",Serviços,Valparaíso,2559
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Valparaíso,2559
"Ciências naturais, matemática e estatística",Serviços,Valparaíso,2559
"Negócios, administração e direito",Serviços,Valparaíso,2559
"Ciências sociais, comunicação e informação",Serviços,Valparaíso,2559
Artes e humanidades,Serviços,Valparaíso,2559
"Ciências naturais, matemática e estatística",Indústria,Jales,2557
"Agricultura, silvicultura, pesca e veterinária",Indústria,Jales,2557
"Engenharia, produção e construção",Indústria,Jales,2557
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Jales,2557
Educação,Serviços,Brodowski,2553
Serviços,Serviços,Brodowski,2553
Saúde e bem-estar,Serviços,Brodowski,2553
"Agricultura, silvicultura, pesca e veterinária",Serviços,Brodowski,2553
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Brodowski,2553
"Ciências naturais, matemática e estatística",Serviços,Brodowski,2553
"Negócios, administração e direito",Serviços,Brodowski,2553
"Ciências sociais, comunicação e informação",Serviços,Brodowski,2553
Artes e humanidades,Serviços,Brodowski,2553
"Engenharia, produção e construção",Agropecuária,Casa Branca,2553
"Agricultura, silvicultura, pesca e veterinária",Agropecuária,Casa Branca,2553
Educação,Serviços,Rancharia,2538
Serviços,Serviços,Rancharia,2538
Saúde e bem-estar,Serviços,Rancharia,2538
"Agricultura, silvicultura, pesca e veterinária",Serviços,Rancharia,2538
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Rancharia,2538
"Ciências naturais, matemática e estatística",Serviços,Rancharia,2538
"Negócios, administração e direito",Serviços,Rancharia,2538
"Ciências sociais, comunicação e informação",Serviços,Rancharia,2538
Artes e humanidades,Serviços,Rancharia,2538
"Negócios, administração e direito",Comércio,Orlândia,2535
Serviços,Comércio,Orlândia,2535
Computação e Tecnologias da Informação e Comunicação (TIC),Comércio,Orlândia,2535
"Ciências naturais, matemática e estatística",Comércio,Orlândia,2535
"Engenharia, produção e construção",Construção,Caraguatatuba,2534
"Ciências naturais, matemática e estatística",Indústria,Cândido Mota,2532
"Agricultura, silvicultura, pesca e veterinária",Indústria,Cândido Mota,2532
"Engenharia, produção e construção",Indústria,Cândido Mota,2532
Computação e Tecnologias da Informação e Comunicação (TIC),Indústria,Cândido Mota,2532
Educação,Serviços,Piracaia,2531
Serviços,Serviços,Piracaia,2531
Saúde e bem-estar,Serviços,Piracaia,2531
"Agricultura, silvicultura, pesca e veterinária",Serviços,Piracaia,2531
Computação e Tecnologias da Informação e Comunicação (TIC),Serviços,Piracaia,2531
"Ciências naturais, matemática e estatística",Serviços,Piracaia,2531
"Negócios, administração e direito",Serviços,Piracaia,2531
"Ciências sociais, comunicação e informação",Serviços,Piracaia,2531
Artes e humanidades,Serviços,Piracaia,2531
"Ciências naturais, matemática e estatística",Indústria,Santo Antônio de Posse,2516
