Curso,Instituicao,Estado,Ano,Taxa
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,São Paulo,2022,99.0
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Distrito Federal,2022,99.0
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Amazonas,2022,99.0
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Goiás,2022,99.0
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,São Paulo,2021,99.0
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Distrito Federal,2021,99.0
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Amazonas,2021,99.0
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Goiás,2021,99.0
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DERBY,Pernambuco,2021,99.0
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA DE MARABÁ,Pará,2021,99.0
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA DE MARABÁ,Pará,2020,99.0
CIÊNCIAS CONTÁBEIS,FACULDADE DA SEUNE,Alagoas,2023,99.0
ENFERMAGEM,Faculdade de Duque de Caxias,Rio de Janeiro,2021,99.0
ENFERMAGEM,Faculdade de Duque de Caxias,Rio de Janeiro,2022,99.0
ENFERMAGEM,Faculdade de Duque de Caxias,Rio de Janeiro,2023,99.0
MEDICINA,UNIVERSIDADE DO VALE DO TAQUARI,Rio Grande do Sul,2023,99.0
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE CIÊNCIAS E TECNOLOGIA DE BRASÍLIA,Distrito Federal,2022,99.0
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE CIÊNCIAS E TECNOLOGIA DE BRASÍLIA,Distrito Federal,2023,99.0
PEDAGOGIA,Faculdade de Ciências Educacionais do Rio Grande do Norte,Rio Grande do Norte,2023,98.9
DIREITO,Faculdade UNA de Divinópolis,Minas Gerais,2023,98.9
MATEMÁTICA,UNIVERSIDADE NOVE DE JULHO,São Paulo,2020,98.9
MATEMÁTICA,UNIVERSIDADE NOVE DE JULHO,São Paulo,2023,98.9
MATEMÁTICA,UNIVERSIDADE NOVE DE JULHO,São Paulo,2022,98.9
MATEMÁTICA,UNIVERSIDADE NOVE DE JULHO,São Paulo,2021,98.9
DIREITO,Centro Universitário da Amazônia,Pará,2020,98.9
DIREITO,Centro Universitário FADERGS,Rio Grande do Sul,2023,98.9
DIREITO,FACULDADE MADRE THAIS,Bahia,2023,98.9
DIREITO,FACULDADE MADRE THAIS,Bahia,2022,98.9
LETRAS,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,Bahia,2023,98.9
FARMÁCIA,Centro Universitário Zarns - Salvador,Bahia,2021,98.9
FARMÁCIA,Centro Universitário Zarns - Salvador,Bahia,2023,98.9
FARMÁCIA,Centro Universitário Zarns - Salvador,Bahia,2022,98.9
ODONTOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2021,98.9
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE ESTADUAL DA PARAÍBA,Paraíba,2023,98.8
ENFERMAGEM,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,98.8
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE ESTADUAL DA PARAÍBA,Paraíba,2021,98.8
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE ESTADUAL DA PARAÍBA,Paraíba,2022,98.8
PROPAGANDA E MARKETING,UNIVERSIDADE PAULISTA,São Paulo,2022,98.8
PROPAGANDA E MARKETING,UNIVERSIDADE PAULISTA,Distrito Federal,2022,98.8
PROPAGANDA E MARKETING,UNIVERSIDADE PAULISTA,Amazonas,2022,98.8
PROPAGANDA E MARKETING,UNIVERSIDADE PAULISTA,Goiás,2022,98.8
DIREITO,INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS,Alagoas,2021,98.8
DIREITO,INSTITUTO DE ENSINO SUPERIOR DE ALAGOAS,Alagoas,2020,98.8
PSICOLOGIA,FACULDADE ANHANGUERA DE FEIRA DE SANTANA,Bahia,2023,98.8
PUBLICIDADE E PROPAGANDA,Centro Universitário Zarns - Salvador,Bahia,2023,98.8
PUBLICIDADE E PROPAGANDA,FACULDADE ANHANGUERA DE GUARULHOS,São Paulo,2022,98.8
PUBLICIDADE E PROPAGANDA,FACULDADE ANHANGUERA DE GUARULHOS,São Paulo,2023,98.8
PUBLICIDADE E PROPAGANDA,FACULDADE ANHANGUERA DE GUARULHOS,São Paulo,2021,98.8
PUBLICIDADE E PROPAGANDA,Centro Universitário Zarns - Salvador,Bahia,2022,98.8
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,São Paulo,2020,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Distrito Federal,2020,98.7
ENGENHARIA DE PRODUÇÃO MECÂNICA,UNIVERSIDADE PAULISTA,Amazonas,2020,98.7
