Curso,Instituicao,Estado,Ano,Taxa
CIÊNCIAS CONTÁBEIS,Centro Universitário Ruy Barbosa Wyden,Bahia,2023,98.2
ADMINISTRAÇÃO,Faculdade Anhanguera de Indaiatuba,São Paulo,2023,98.2
ENGENHARIA MECÂNICA,FACULDADE ANHANGUERA DE MATÃO,São Paulo,2023,98.2
ENGENHARIA MECÂNICA,FACULDADE ANHANGUERA DE MATÃO,São Paulo,2020,98.2
CIÊNCIAS CONTÁBEIS,Centro Universitário Ruy Barbosa Wyden,Bahia,2022,98.2
ENFERMAGEM,Centro Universitário Ruy Barbosa Wyden,Bahia,2021,98.2
ENGENHARIA MECÂNICA,FACULDADE ANHANGUERA DE MATÃO,São Paulo,2021,98.2
ENGENHARIA MECÂNICA,FACULDADE ANHANGUERA DE MATÃO,São Paulo,2022,98.2
GESTÃO FINANCEIRA,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2023,98.1
GESTÃO FINANCEIRA,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2021,98.1
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,98.1
GESTÃO FINANCEIRA,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2020,98.1
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,98.1
GESTÃO FINANCEIRA,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2022,98.1
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,98.1
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,98.1
PEDAGOGIA,FACULDADE DE CAIEIRAS,São Paulo,2023,98.1
PEDAGOGIA,FACULDADE DE CAIEIRAS,São Paulo,2022,98.1
ENFERMAGEM,FACULDADE SÃO SALVADOR,Bahia,2023,98.1
ENFERMAGEM,FACULDADE SÃO SALVADOR,Bahia,2022,98.1
ENFERMAGEM,FACULDADE SÃO SALVADOR,Bahia,2021,98.1
PUBLICIDADE E PROPAGANDA,FACULDADE ANHANGUERA DE OSASCO,São Paulo,2023,98.1
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE RIO CLARO,São Paulo,2021,98.0
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE RIO CLARO,São Paulo,2022,98.0
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE RIO CLARO,São Paulo,2023,98.0
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE RIO CLARO,São Paulo,2020,98.0
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,98.0
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,98.0
SERVIÇO SOCIAL,UNIVERSIDADE SANTO AMARO,São Paulo,2021,98.0
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,98.0
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2020,98.0
SERVIÇO SOCIAL,UNIVERSIDADE SANTO AMARO,São Paulo,2022,98.0
PEDAGOGIA,FACULDADE DE SUZANO,São Paulo,2023,98.0
PEDAGOGIA,FACULDADE DE SUZANO,São Paulo,2022,98.0
CIÊNCIAS CONTÁBEIS,INSTITUTO DE ENSINO SUPERIOR DE OLINDA,Pernambuco,2022,98.0
CIÊNCIAS CONTÁBEIS,INSTITUTO DE ENSINO SUPERIOR DE OLINDA,Pernambuco,2023,98.0
ADMINISTRAÇÃO,Faculdade Positivo Londrina,Paraná,2023,98.0
ADMINISTRAÇÃO,Faculdade Positivo Londrina,Paraná,2022,98.0
ADMINISTRAÇÃO,Faculdade Positivo Londrina,Paraná,2021,98.0
ADMINISTRAÇÃO,Faculdade Positivo Londrina,Paraná,2020,98.0
ENGENHARIA DE COMPUTAÇÃO,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,Pernambuco,2020,98.0
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA DE MARABÁ,Pará,2019,98.0
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Faculdade QI Brasil,Rio Grande do Sul,2023,98.0
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Faculdade QI Brasil,Rio Grande do Sul,2022,98.0
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Faculdade QI Brasil,Rio Grande do Sul,2021,98.0
DIREITO,CENTRO UNIVERSITÁRIO DO NORTE,Amazonas,2022,98.0
ENFERMAGEM,FACULDADE FADAM DE MARACANAÚ,Ceará,2023,98.0
GESTÃO DE RECURSOS HUMANOS,FACULDADE ANHANGUERA DE CIÊNCIAS E TECNOLOGIA DE BRASÍLIA,Distrito Federal,2022,98.0
GESTÃO DE RECURSOS HUMANOS,FACULDADE ANHANGUERA DE CIÊNCIAS E TECNOLOGIA DE BRASÍLIA,Distrito Federal,2023,98.0
RADIOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2023,98.0
ENGENHARIA CIVIL,Centro Universitário Ruy Barbosa Wyden,Bahia,2022,98.0
RADIOLOGIA,Centro Universitário Zarns - Salvador,Bahia,2022,98.0
ENGENHARIA CIVIL,Centro Universitário Ruy Barbosa Wyden,Bahia,2023,98.0
ENGENHARIA CIVIL,Centro Universitário Ruy Barbosa Wyden,Bahia,2020,98.0
ADMINISTRAÇÃO,FACULDADE DE CAIEIRAS,São Paulo,2023,98.0
ADMINISTRAÇÃO,FACULDADE DE CAIEIRAS,São Paulo,2022,98.0
FISIOTERAPIA,Centro Universitário Zarns - Salvador,Bahia,2021,98.0
ENGENHARIA CIVIL,Centro Universitário Ruy Barbosa Wyden,Bahia,2021,98.0
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,97.9
ADMINISTRAÇÃO,Faculdade Única de Contagem,Minas Gerais,2021,97.9
ADMINISTRAÇÃO,Faculdade Única de Contagem,Minas Gerais,2022,97.9
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,97.9
ADMINISTRAÇÃO,Faculdade Única de Contagem,Minas Gerais,2023,97.9
DIREITO,FACULDADE PITÁGORAS UNOPAR DE JOÃO PESSOA,Paraíba,2023,97.9
ADMINISTRAÇÃO,"Faculdade Brasileira de Ensino, Pesquisa e Extensão",Paraíba,2022,97.9
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,97.9
ADMINISTRAÇÃO,"Faculdade Brasileira de Ensino, Pesquisa e Extensão",Paraíba,2023,97.9
ADMINISTRAÇÃO,"Faculdade Brasileira de Ensino, Pesquisa e Extensão",Paraíba,2020,97.9
ADMINISTRAÇÃO,"Faculdade Brasileira de Ensino, Pesquisa e Extensão",Paraíba,2021,97.9
SERVIÇO SOCIAL,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,97.9
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,97.9
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,UNIVERSIDADE PAULISTA,São Paulo,2021,97.9
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,UNIVERSIDADE PAULISTA,Distrito Federal,2021,97.9
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,UNIVERSIDADE PAULISTA,Amazonas,2021,97.9
ENGENHARIA DE CONTROLE E AUTOMAÇÃO,UNIVERSIDADE PAULISTA,Goiás,2021,97.9
FISIOTERAPIA,FACULDADE ANHANGÜERA DE BAURU,São Paulo,2023,97.9
GASTRONOMIA,Centro Universitário Ruy Barbosa Wyden,Bahia,2020,97.9
GASTRONOMIA,Centro Universitário Ruy Barbosa Wyden,Bahia,2023,97.9
GASTRONOMIA,Centro Universitário Ruy Barbosa Wyden,Bahia,2022,97.9
GASTRONOMIA,Centro Universitário Ruy Barbosa Wyden,Bahia,2021,97.9
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,97.8
FISIOTERAPIA,FACULDADE ANHANGUERA DE CONTAGEM,Minas Gerais,2023,97.8
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,97.8
ADMINISTRAÇÃO,FACULDADE CAMPOS ELÍSEOS,São Paulo,2022,97.8
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,97.8
PEDAGOGIA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,97.8
ADMINISTRAÇÃO,INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS,Santa Catarina,2022,97.8
ADMINISTRAÇÃO,INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS,Santa Catarina,2023,97.8
ARQUITETURA E URBANISMO,FACULDADES INTEGRADAS SILVA E SOUZA,Rio de Janeiro,2023,97.8
ENGENHARIA DE PRODUÇÃO,UNIVERSIDADE CÂNDIDO MENDES,Rio de Janeiro,2023,97.8
ENGENHARIA DE PRODUÇÃO,UNIVERSIDADE CÂNDIDO MENDES,Rio de Janeiro,2022,97.8
ENGENHARIA DE PRODUÇÃO,UNIVERSIDADE CÂNDIDO MENDES,Rio de Janeiro,2021,97.8
ARQUITETURA E URBANISMO,FACULDADES INTEGRADAS SILVA E SOUZA,Rio de Janeiro,2020,97.8
JORNALISMO,FACULDADES INTEGRADAS HÉLIO ALONSO,Rio de Janeiro,2023,97.8
ARQUITETURA E URBANISMO,FACULDADES INTEGRADAS SILVA E SOUZA,Rio de Janeiro,2022,97.8
JORNALISMO,FACULDADES INTEGRADAS HÉLIO ALONSO,Rio de Janeiro,2022,97.8
ARQUITETURA E URBANISMO,FACULDADES INTEGRADAS SILVA E SOUZA,Rio de Janeiro,2021,97.8
JORNALISMO,FACULDADES INTEGRADAS HÉLIO ALONSO,Rio de Janeiro,2021,97.8
LETRAS,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,Bahia,2022,97.8
ODONTOLOGIA,Faculdade Unirb - Mossoró,Rio Grande do Norte,2023,97.8
EDUCAÇÃO FÍSICA,FACULDADE ANHANGUERA DO MARANHÃO,Maranhão,2023,97.7
ENGENHARIA CIVIL,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2023,97.7
ENGENHARIA CIVIL,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2022,97.7
GESTÃO DE SEGURANÇA PRIVADA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,97.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,97.7
GESTÃO DE SEGURANÇA PRIVADA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,97.7
BIOMEDICINA,FACULDADE DA FRATERNIDADE DE VALENÇA,Bahia,2022,97.7
BIOMEDICINA,FACULDADE DA FRATERNIDADE DE VALENÇA,Bahia,2021,97.7
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2020,97.7
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2023,97.7
EDUCAÇÃO FÍSICA,FACULDADE ANHANGUERA DO MARANHÃO,Maranhão,2022,97.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,97.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,97.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,97.7
GESTÃO DE SEGURANÇA PRIVADA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,97.7
GESTÃO DE SEGURANÇA PRIVADA,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,97.7
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2022,97.7
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA PITÁGORAS VOTORANTIM,São Paulo,2021,97.7
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU DERBY,Pernambuco,2020,97.7
TECNOLOGIAS DIGITAIS,UNIVERSIDADE DE CAXIAS DO SUL,Rio Grande do Sul,2022,97.7
TECNOLOGIAS DIGITAIS,UNIVERSIDADE DE CAXIAS DO SUL,Rio Grande do Sul,2023,97.7
DESIGN GRÁFICO,CENTRO UNIVERSITÁRIO DE GOIÂNIA,Goiás,2019,97.7
ENFERMAGEM,Centro Universitário Zarns - Salvador,Bahia,2022,97.7
ENFERMAGEM,Centro Universitário Zarns - Salvador,Bahia,2023,97.7
ENFERMAGEM,Centro Universitário Zarns - Salvador,Bahia,2021,97.7
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,97.6
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2023,97.6
DIREITO,FACULDADES INTEGRADAS RIO BRANCO,São Paulo,2020,97.6
DIREITO,FACULDADES INTEGRADAS RIO BRANCO,São Paulo,2023,97.6
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,97.6
ENGENHARIA DE PRODUÇÃO,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2022,97.6
DIREITO,FACULDADES INTEGRADAS RIO BRANCO,São Paulo,2021,97.6
EDUCAÇÃO FÍSICA,CENTRO UNIVERSITÁRIO DO NORTE,Amazonas,2023,97.6
ENGENHARIA DE PRODUÇÃO,UNIVERSIDADE ANHEMBI MORUMBI,São Paulo,2023,97.6
DIREITO,FACULDADES INTEGRADAS RIO BRANCO,São Paulo,2022,97.6
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,97.6
ADMINISTRAÇÃO,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2022,97.6
ADMINISTRAÇÃO,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2021,97.6
ADMINISTRAÇÃO,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,Rio de Janeiro,2023,97.6
ADMINISTRAÇÃO,Centro Universitário Estácio do Ceará,Ceará,2023,97.6
SISTEMAS DE INFORMAÇÃO,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,Mato Grosso do Sul,2023,97.6
EDUCAÇÃO FÍSICA,CENTRO UNIVERSITÁRIO DO NORTE,Amazonas,2022,97.6
CIÊNCIAS CONTÁBEIS,FACULDADE DELTA,Goiás,2023,97.6
GESTÃO DE RECURSOS HUMANOS,FACULDADE DELTA,Goiás,2022,97.6
GESTÃO DE RECURSOS HUMANOS,FACULDADE DELTA,Goiás,2023,97.6
PEDAGOGIA,Universidade Universus Veritas Guarulhos,São Paulo,2023,97.6
PEDAGOGIA,Universidade Universus Veritas Guarulhos,São Paulo,2022,97.6
ADMINISTRAÇÃO,Faculdade Anhanguera de Indaiatuba,São Paulo,2022,97.6
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,São Paulo,2022,97.5
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,Distrito Federal,2022,97.5
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,Amazonas,2022,97.5
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,Goiás,2022,97.5
ADMINISTRAÇÃO,FACULDADE ANHANGUERA JARAGUÁ DO SUL,Santa Catarina,2021,97.5
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,São Paulo,2023,97.5
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,Distrito Federal,2023,97.5
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,Amazonas,2023,97.5
ENGENHARIA CIVIL,UNIVERSIDADE PAULISTA,Goiás,2023,97.5
MARKETING,UNIVERSIDADE ESTÁCIO DE SÁ,Rio de Janeiro,2021,97.5
MARKETING,UNIVERSIDADE ESTÁCIO DE SÁ,Rio de Janeiro,2023,97.5
MARKETING,UNIVERSIDADE ESTÁCIO DE SÁ,Rio de Janeiro,2022,97.5
ADMINISTRAÇÃO,Centro Universitário Araguaia,Goiás,2022,97.5
ADMINISTRAÇÃO,Centro Universitário Araguaia,Goiás,2023,97.5
ADMINISTRAÇÃO,FACULDADE ANHANGUERA DE GOIÂNIA,Goiás,2023,97.5
GESTÃO DE RECURSOS HUMANOS,FACULDADE JK - GUARÁ,Distrito Federal,2020,97.5
GESTÃO DE RECURSOS HUMANOS,FACULDADE JK - GUARÁ,Distrito Federal,2022,97.5
GESTÃO DE RECURSOS HUMANOS,FACULDADE JK - GUARÁ,Distrito Federal,2021,97.5
MARKETING,UNIVERSIDADE ESTÁCIO DE SÁ,Rio de Janeiro,2020,97.5
ENGENHARIA ELÉTRICA,Faculdade Anhanguera de Itapeva,São Paulo,2021,97.5
ENGENHARIA CIVIL,FACULDADE ANHANGUERA DE BELO HORIZONTE,Minas Gerais,2023,97.4
ENGENHARIA ELÉTRICA,UNIVERSIDADE PAULISTA,São Paulo,2021,97.4
ENGENHARIA ELÉTRICA,UNIVERSIDADE PAULISTA,Distrito Federal,2021,97.4
ENGENHARIA ELÉTRICA,UNIVERSIDADE PAULISTA,Amazonas,2021,97.4
ENGENHARIA ELÉTRICA,UNIVERSIDADE PAULISTA,Goiás,2021,97.4
ENGENHARIA CIVIL,FACULDADE ANHANGUERA DE BELO HORIZONTE,Minas Gerais,2022,97.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,97.4
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,97.4
ENGENHARIA CIVIL,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,97.4
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,97.4
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,97.4
ENFERMAGEM,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2023,97.4
ENGENHARIA CIVIL,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,97.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,97.4
TRADUTOR E INTÉRPRETE,UNIVERSIDADE NOVE DE JULHO,São Paulo,2023,97.4
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2020,97.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,97.4
CIÊNCIAS CONTÁBEIS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,97.4
SEGURANÇA DA INFORMAÇÃO,FACULDADE ZUMBI DOS PALMARES,São Paulo,2023,97.4
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,97.4
TRADUTOR E INTÉRPRETE,UNIVERSIDADE NOVE DE JULHO,São Paulo,2021,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,São Paulo,2022,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Distrito Federal,2022,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Amazonas,2022,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Goiás,2022,97.4
TRADUTOR E INTÉRPRETE,UNIVERSIDADE NOVE DE JULHO,São Paulo,2020,97.4
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,97.4
RADIOLOGIA,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,97.4
GESTÃO DE RECURSOS HUMANOS,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,97.4
PEDAGOGIA,Centro Universitário Estácio de São Paulo,São Paulo,2023,97.4
ENGENHARIA CIVIL,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,São Paulo,2023,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Distrito Federal,2023,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Amazonas,2023,97.4
CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE PAULISTA,Goiás,2023,97.4
BIOMEDICINA,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,São Paulo,2023,97.4
TRADUTOR E INTÉRPRETE,UNIVERSIDADE NOVE DE JULHO,São Paulo,2022,97.4
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA IPANEMA,São Paulo,2021,97.4
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA IPANEMA,São Paulo,2022,97.4
SISTEMAS DE INFORMAÇÃO,FACULDADE DE SUZANO,São Paulo,2021,97.4
SISTEMAS DE INFORMAÇÃO,FACULDADE DE SUZANO,São Paulo,2023,97.4
ENGENHARIA CIVIL,FACULDADE DE TECNOLOGIA IPANEMA,São Paulo,2023,97.4
SISTEMAS DE INFORMAÇÃO,FACULDADE DE SUZANO,São Paulo,2022,97.4
ARQUITETURA E URBANISMO,Faculdade Pitágoras Anhanguera de Teresina,Piauí,2023,97.4
DIREITO,Universidade Pitágoras Unopar Anhanguera,Paraná,2023,97.4
ARQUITETURA E URBANISMO,Faculdade Pitágoras Anhanguera de Teresina,Piauí,2021,97.4
ARQUITETURA E URBANISMO,Faculdade Pitágoras Anhanguera de Teresina,Piauí,2020,97.4
ARQUITETURA E URBANISMO,Faculdade Pitágoras Anhanguera de Teresina,Piauí,2022,97.4
ENGENHARIA CIVIL,Centro Univeritário UniVOLTAIRE,Acre,2023,97.4
DESIGN DE MODA,CENTRO UNIVERSITÁRIO RITTER DOS REIS,Rio Grande do Sul,2023,97.4
LETRAS - PORTUGUÊS E ESPANHOL,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,Mato Grosso do Sul,2020,97.4
ADMINISTRAÇÃO,FACULDADES INTEGRADAS RUI BARBOSA,São Paulo,2023,97.4
ADMINISTRAÇÃO,FACULDADES INTEGRADAS RUI BARBOSA,São Paulo,2022,97.4
PEDAGOGIA,FACULDADE DO GUARUJÁ,São Paulo,2021,97.4
EVENTOS,Faculdades Integradas Oswaldo Cruz,Tocantins,2021,97.4
ENGENHARIA MECÂNICA,FACULDADE ANHANGUERA DE LIMEIRA,São Paulo,2023,97.4
ENGENHARIA MECÂNICA,FACULDADE ANHANGUERA DE LIMEIRA,São Paulo,2022,97.4
SISTEMA DE INFORMAÇÃO,FACULDADE DE MAUÁ - FAMA,São Paulo,2022,97.4
SISTEMA DE INFORMAÇÃO,FACULDADE DE MAUÁ - FAMA,São Paulo,2021,97.4
SISTEMA DE INFORMAÇÃO,FACULDADE DE MAUÁ - FAMA,São Paulo,2023,97.4
EVENTOS,Faculdades Integradas Oswaldo Cruz,Tocantins,2023,97.4
EVENTOS,Faculdades Integradas Oswaldo Cruz,Tocantins,2022,97.4
EDUCAÇÃO FÍSICA,CENTRO UNIVERSITÁRIO DE PRESIDENTE PRUDENTE,São Paulo,2023,97.4
EDUCAÇÃO FÍSICA,CENTRO UNIVERSITÁRIO DE PRESIDENTE PRUDENTE,São Paulo,2022,97.4
EDUCAÇÃO FÍSICA,CENTRO UNIVERSITÁRIO DE PRESIDENTE PRUDENTE,São Paulo,2021,97.4
PEDAGOGIA,FACULDADE EVANGÉLICA DO MEIO NORTE,Maranhão,2023,97.3
ENGENHARIA DE COMPUTAÇÃO,FACULDADE UNINASSAU VILHENA,Rondônia,2023,97.3
EDUCAÇÃO FÍSICA,FACULDADE ESTÁCIO DO AMAZONAS - ESTÁCIO AMAZONAS,Amazonas,2023,97.3
PEDAGOGIA,FACULDADE DE SOROCABA,São Paulo,2021,97.3
PEDAGOGIA,FACULDADE DE SOROCABA,São Paulo,2022,97.3
PEDAGOGIA,UNIVERSIDADE DO ESTADO DO PARÁ,Pará,2020,97.3
DESIGN,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,Rio de Janeiro,2022,97.3
DESIGN,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,Rio de Janeiro,2023,97.3
PEDAGOGIA,Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande,Mato Grosso do Sul,2023,97.3
PEDAGOGIA,Centro Universitário Anhanguera Pitágoras Unopar de Campo Grande,Mato Grosso do Sul,2022,97.3
DESIGN,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,Rio de Janeiro,2021,97.3
CIÊNCIAS CONTÁBEIS,Centro Universitário Araguaia,Goiás,2023,97.3
CIÊNCIAS CONTÁBEIS,Centro Universitário Araguaia,Goiás,2022,97.3
EDUCAÇÃO FÍSICA,FACULDADE ANHANGUERA DE MACAPÁ,Amapá,2022,97.3
ADMINISTRAÇÃO,Centro Universitário Zarns - Salvador,Bahia,2021,97.3
ADMINISTRAÇÃO,Centro Universitário Zarns - Salvador,Bahia,2023,97.3
ADMINISTRAÇÃO,Centro Universitário Zarns - Salvador,Bahia,2022,97.3
PEDAGOGIA,FACULDADE DE SOROCABA,São Paulo,2023,97.3
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA DE LIMEIRA,São Paulo,2022,97.3
ENGENHARIA DE PRODUÇÃO,FACULDADE ANHANGUERA DE LIMEIRA,São Paulo,2023,97.3
EDUCAÇÃO FÍSICA,FACULDADE DE RIBEIRÃO PIRES,São Paulo,2023,97.3
EDUCAÇÃO FÍSICA,FACULDADE DE RIBEIRÃO PIRES,São Paulo,2022,97.3
ENFERMAGEM,CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI,São Paulo,2022,97.2
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2022,97.2
PUBLICIDADE E PROPAGANDA,FACULDADE ANHANGUERA DE LIMEIRA,São Paulo,2022,97.2
NUTRIÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2021,97.2
NUTRIÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2022,97.2
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2021,97.2
NUTRIÇÃO,CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,São Paulo,2023,97.2
ENFERMAGEM,UNIVERSIDADE CEUMA,Maranhão,2023,97.2
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2023,97.2
ADMINISTRAÇÃO,CENTRO UNIVERSITÁRIO SUMARÉ,São Paulo,2020,97.2
